account_id,customer_id,account_type,balance,opened_date
1,328,Savings,3476.06,2025-04-07
2,141,Savings,23097.86,2023-06-25
3,378,Savings,67993.25,2025-05-22
4,457,Salary,9606.94,2022-04-04
5,217,Savings,3949.92,2025-09-02
6,112,Savings,51030.17,2021-09-03
7,14,Salary,20684.93,2023-10-26
8,333,Salary,54949.21,2023-06-03
9,113,Current,59337.3,2021-09-21
10,415,Savings,76121.93,2021-10-08
11,82,Salary,42838.83,2026-03-27
12,143,Savings,22316.06,2022-10-01
13,391,Current,11118.82,2025-08-13
14,195,Savings,36538.96,2022-09-25
15,177,Salary,27187.57,2022-02-06
16,23,Salary,46483.06,2023-08-16
17,64,Current,8801.22,2023-03-27
18,151,Salary,62233.46,2022-06-16
19,442,Current,58157.86,2023-08-28
20,361,Savings,5536.61,2026-03-11
21,117,Current,98536.93,2025-08-04
22,438,Savings,86781.88,2024-08-31
23,195,Current,45887.62,2023-02-28
24,428,Current,17102.76,2025-10-22
25,182,Savings,67347.34,2024-10-11
26,360,Salary,65155.5,2026-01-03
27,312,Salary,17942.73,2024-03-29
28,374,Savings,17176.85,2023-05-20
29,195,Current,98962.81,2023-10-20
30,328,Salary,56138.02,2023-06-03
31,351,Current,84442.34,2022-04-09
32,398,Savings,23675.76,2023-11-07
33,17,Current,40715.31,2024-02-08
34,34,Savings,91400.48,2024-01-19
35,291,Salary,32153.11,2026-01-31
36,336,Current,40167.56,2022-01-02
37,469,Salary,46426.33,2023-06-03
38,136,Savings,25416.12,2021-07-19
39,288,Salary,27011.42,2026-05-02
40,300,Current,89884.47,2021-12-10
41,205,Current,22712.76,2022-10-03
42,71,Salary,49858.07,2026-02-13
43,387,Savings,86249.19,2022-10-30
44,79,Salary,16838.22,2021-11-24
45,349,Current,60044.49,2022-07-22
46,198,Current,59992.95,2025-01-18
47,240,Salary,25890.0,2025-02-04
48,284,Savings,68348.06,2024-02-12
49,59,Salary,88594.06,2023-08-04
50,385,Current,77091.27,2021-08-02
51,175,Savings,30056.51,2023-12-30
52,81,Current,1321.29,2023-08-21
53,370,Salary,27075.52,2022-08-09
54,257,Savings,51260.49,2026-02-17
55,55,Salary,30546.03,2025-12-05
56,328,Salary,61288.05,2023-10-20
57,79,Current,76488.57,2025-12-30
58,277,Salary,91930.86,2023-03-29
59,307,Current,49371.97,2022-12-07
60,58,Current,87993.47,2025-01-10
61,426,Current,24705.78,2026-01-12
62,124,Salary,94748.0,2023-08-22
63,44,Salary,49113.06,2023-11-17
64,36,Salary,76817.61,2026-01-27
65,66,Salary,48052.96,2022-07-22
66,282,Savings,27240.61,2022-06-12
67,447,Salary,42890.66,2025-04-16
68,109,Salary,75771.25,2022-08-28
69,354,Savings,71581.95,2025-04-11
70,205,Salary,65337.93,2025-07-29
71,225,Salary,45697.13,2023-04-01
72,127,Savings,7338.56,2024-03-16
