loan_id,customer_id,loan_amount,loan_status,loan_date
1,153,417300.2,Pending,03-10-2022
2,454,298662.79,Closed,02-08-2025
3,185,234570.99,Pending,22-04-2026
4,291,445652.22,Closed,15-01-2023
5,112,257994.19,Closed,24-07-2022
6,7,112129.66,Pending,21-12-2023
7,441,170296.35,Rejected,05-02-2026
8,485,361371.34,Closed,02-02-2023
9,235,492193.6,Pending,26-03-2025
10,472,248382.72,Closed,03-05-2026
11,408,493456.69,Pending,26-09-2022
12,40,310103.31,Approved,03-08-2024
13,437,20443.97,Approved,27-12-2025
14,439,10549.89,Closed,19-01-2025
15,477,5004.69,Rejected,09-06-2022
16,196,365730.37,Pending,07-09-2025
17,50,31501.23,Pending,11-08-2025
18,331,99438.8,Rejected,15-03-2023
19,380,438840.1,Approved,24-02-2026
20,144,211656.08,Approved,05-01-2023
21,153,386369.62,Approved,30-08-2024
22,155,75209.85,Rejected,21-11-2023
23,477,466461.59,Pending,15-03-2024
24,62,460106.15,Approved,15-07-2022
25,451,465866.32,Rejected,27-12-2024
26,90,12100.3,Approved,05-03-2023
27,372,121227.4,Closed,28-09-2023
28,139,16166.68,Rejected,22-01-2023
29,33,367059.84,Pending,01-07-2025
30,111,37253.09,Rejected,02-08-2025
31,16,23394.78,Rejected,26-12-2023
32,426,235522.28,Pending,22-11-2025
33,499,11568.19,Approved,24-09-2024
34,337,36190.07,Closed,26-04-2025
35,364,144376.46,Rejected,30-07-2023
36,104,401960.8,Approved,18-02-2024
37,344,139621.41,Pending,29-12-2025
38,121,346389.22,Approved,10-09-2023
39,333,26840.94,Rejected,15-05-2022
40,287,476312.48,Rejected,10-06-2025
41,406,119602.84,Approved,19-08-2024
42,147,185197.22,Closed,24-09-2023
43,234,411253.53,Pending,14-08-2024
44,192,331007.66,Closed,28-11-2023
45,372,277756.91,Pending,14-09-2025
46,165,368921.5,Closed,04-08-2022
47,209,91111.55,Rejected,09-04-2023
48,191,236404.67,Closed,27-03-2024
49,393,149762.52,Rejected,09-06-2022
50,346,273422.95,Closed,26-03-2023
51,493,218697.11,Closed,23-09-2025
52,454,73132.54,Closed,09-09-2023
53,331,235944.81,Pending,23-08-2022
54,456,26164.09,Pending,09-06-2023
55,307,174116.69,Pending,17-06-2024
56,436,400374.1,Pending,07-05-2024
57,418,397177.51,Rejected,19-02-2023
58,42,412604.47,Approved,10-05-2025
59,257,274278.38,Approved,05-08-2023
60,295,7000.05,Pending,26-07-2025
61,379,117257.25,Closed,25-07-2024
62,251,62876.07,Closed,17-03-2024
63,281,468779.39,Rejected,10-12-2023
64,113,290624.62,Rejected,04-07-2022
65,353,377024.93,Approved,30-12-2025
66,116,322032.33,Rejected,10-03-2026
67,80,418002.89,Pending,31-08-2023
68,367,5295.08,Approved,07-02-2025
69,254,76456,Approved,25-11-2023
70,356,475304.75,Pending,26-04-2025
71,387,206029.34,Pending,11-03-2024
72,278,320933.06,Pending,16-03-2026
73,13,13028.9,Closed,30-12-2024
74,62,107508.26,Approved,03-10-2023
75,35,130449.78,Approved,24-08-2024
76,217,472712.93,Rejected,04-12-2022
77,6,350420.16,Closed,02-08-2025
78,176,196934.92,Pending,04-01-2024
79,156,217119.32,Rejected,07-01-2023
80,326,309327.57,Approved,21-08-2025
81,348,248210.07,Approved,28-07-2024
82,256,163217.76,Approved,20-06-2024
83,131,351812.59,Rejected,10-07-2023
84,386,271813.57,Approved,27-12-2024
85,217,345852.62,Closed,18-09-2024
86,486,485824.36,Rejected,01-10-2025
87,14,193083.81,Rejected,02-09-2023
88,389,453408.33,Rejected,02-11-2025
89,130,274148.8,Approved,10-09-2023
90,126,363517.92,Approved,20-03-2024
91,233,193026.3,Closed,24-07-2022
92,124,303786.32,Rejected,15-11-2022
93,18,164821.89,Rejected,17-11-2025
94,111,308790.04,Approved,22-01-2023
95,6,343492.77,Approved,28-05-2023
96,479,255615.8,Approved,14-10-2024
97,258,94710.47,Closed,29-05-2024
98,357,284699.73,Approved,12-10-2022
99,130,294902.23,Rejected,20-10-2025
100,90,451619.56,Closed,28-02-2023
101,438,85559.36,Closed,04-02-2025
102,308,169050.72,Approved,15-03-2024
103,352,81624.11,Approved,06-07-2024
104,102,243662.37,Pending,17-01-2025
105,3,196715.32,Pending,26-06-2023
106,396,191476.21,Closed,26-06-2023
107,94,115594.21,Rejected,05-01-2023
108,118,358344.83,Approved,15-12-2024
109,52,86394.47,Pending,23-04-2025
110,380,489504.48,Approved,18-03-2026
111,225,250592.1,Rejected,27-12-2025
112,11,355662.36,Closed,26-10-2022
113,326,274024.89,Rejected,21-02-2025
114,243,21600.75,Rejected,25-03-2026
115,286,352513.64,Approved,08-08-2023
116,34,48185.26,Closed,27-10-2023
117,244,203656.85,Pending,30-05-2023
118,465,464294.54,Pending,19-12-2023
119,62,16934.09,Approved,26-12-2024
120,293,97461.4,Pending,07-01-2023
121,229,331631.67,Closed,21-02-2025
122,286,135188.31,Approved,13-05-2025
123,498,396049.09,Pending,15-02-2023
124,299,209561.6,Approved,02-06-2025
125,119,105211.4,Closed,13-08-2025
126,69,374587.86,Rejected,15-05-2024
127,6,189069.99,Approved,05-09-2022
128,58,264658.75,Closed,10-07-2022
129,300,267607.05,Closed,13-10-2022
130,451,406673.56,Closed,10-09-2023
131,472,125619.69,Rejected,01-01-2026
132,411,110712.72,Rejected,25-09-2023
133,245,241973.5,Approved,12-01-2025
134,89,196989.48,Approved,29-01-2024
135,75,335205.76,Pending,26-06-2025
136,441,381456.42,Rejected,26-04-2023
137,263,494984.13,Approved,20-03-2025
138,290,86542.7,Rejected,22-10-2025
139,430,314683.63,Pending,29-11-2025
140,424,134921.88,Approved,29-11-2024
141,386,218776.16,Closed,14-05-2025
142,400,200341.27,Pending,19-11-2022
143,344,364615.15,Closed,17-04-2025
144,201,227665.03,Pending,27-11-2023
145,384,454216.41,Rejected,25-01-2025
146,315,474947.01,Rejected,27-07-2022
147,331,436576.24,Pending,06-09-2023
148,124,301494.53,Closed,15-07-2023
149,255,387684.09,Rejected,07-12-2023
150,308,20302.44,Approved,07-07-2025
151,288,46997.12,Pending,14-09-2023
152,396,322493.06,Closed,13-08-2024
153,143,199667.33,Rejected,01-08-2022
154,333,404371.64,Closed,29-03-2026
155,156,418980.61,Closed,11-04-2026
156,471,157530.22,Rejected,05-10-2023
157,262,246454.82,Pending,07-07-2023
158,241,171852.25,Rejected,11-06-2024
159,500,174492.96,Approved,26-10-2023
160,129,316415.08,Closed,09-07-2025
161,448,148028.75,Pending,13-02-2024
162,161,463775.82,Closed,11-08-2023
163,465,123510.32,Pending,19-10-2023
164,179,486308.64,Pending,12-04-2023
165,423,170824.25,Rejected,28-08-2025
166,143,135635.52,Rejected,11-03-2025
167,343,331260.01,Pending,17-05-2024
168,411,386104.97,Closed,22-10-2025
169,98,345116.17,Closed,26-02-2024
170,365,273674.08,Closed,10-12-2022
171,105,400025.17,Pending,04-06-2023
172,61,363673.39,Closed,07-10-2025
173,327,127278.43,Closed,16-05-2024
174,94,444200.27,Rejected,17-09-2022
175,192,126588.74,Rejected,06-08-2025
176,368,139016.54,Rejected,04-10-2022
177,276,173992.72,Closed,16-09-2024
178,311,40664.87,Approved,04-02-2026
179,495,191398.2,Rejected,12-03-2023
180,2,37940.47,Closed,05-12-2025
181,476,250052.52,Closed,25-01-2023
182,262,285889.55,Pending,04-08-2024
183,137,30241.55,Rejected,16-03-2024
184,322,490939.85,Approved,11-09-2025
185,244,221400.25,Closed,23-12-2022
186,62,74165.04,Approved,01-01-2026
187,186,381261.59,Approved,07-02-2024
188,22,424351.48,Closed,09-03-2025
189,56,276502.9,Closed,18-12-2024
190,66,393015.97,Rejected,20-06-2023
191,105,24769,Approved,29-03-2025
192,6,60158.86,Closed,24-09-2025
193,146,217752.31,Pending,05-11-2022
194,113,311064.39,Closed,14-09-2024
195,476,278544.82,Pending,20-09-2023
196,78,16362.26,Closed,31-03-2023
197,391,113836.79,Rejected,19-08-2025
198,105,273147.08,Approved,28-04-2025
199,489,84395.91,Closed,23-07-2023
200,415,245697.25,Approved,01-07-2023
201,127,423464.22,Pending,06-03-2026
202,124,232455.77,Pending,16-04-2023
203,457,90903.84,Pending,08-04-2026
204,144,58156.52,Pending,27-03-2024
205,344,157704.65,Rejected,22-10-2023
206,229,110626.97,Approved,01-06-2024
207,434,45588.58,Rejected,21-11-2023
