transaction_id,customer_id,amount,merchant,transaction_date
1,17,937.8,Walmart,26-03-2026
2,9,4809.27,Uber,09-11-2025
3,74,3773.66,Zomato,28-12-2025
4,421,2021.57,Amazon,17-05-2025
5,154,854.13,Flipkart,03-05-2026
6,291,4181.52,Target,13-03-2026
7,347,4487.8,Walmart,11-06-2025
8,197,3790.27,Flipkart,13-03-2026
9,405,4942.97,Zomato,03-10-2025
10,41,2528.92,Walmart,23-01-2026
11,28,533.54,Flipkart,07-03-2026
12,430,426.29,Uber,15-12-2025
13,394,3088.63,Uber,03-03-2026
14,204,4846.16,Walmart,22-08-2025
15,16,3188.91,Target,13-05-2025
16,252,1179.29,Uber,28-05-2025
17,482,1908.36,Flipkart,02-11-2025
18,349,2950.08,Target,26-08-2025
19,44,3872.23,Walmart,08-03-2026
20,409,1269.93,Amazon,10-03-2026
21,43,1376.46,Target,29-04-2026
22,365,3930.26,Flipkart,20-01-2026
23,379,1978.63,Walmart,27-12-2025
24,55,503.03,Walmart,01-06-2025
25,228,1831.59,Walmart,28-02-2026
26,53,705.91,Flipkart,27-11-2025
27,221,2271.78,Uber,20-09-2025
28,263,2069.82,Amazon,13-12-2025
29,46,1801.88,Amazon,03-05-2026
30,306,3010.32,Walmart,07-01-2026
31,443,1956.93,Walmart,02-02-2026
32,212,1969.61,Amazon,07-05-2025
33,372,4510.62,Flipkart,30-07-2025
34,293,2629.47,Zomato,12-10-2025
35,195,889.03,Walmart,10-03-2026
36,155,1378.61,Flipkart,16-11-2025
37,33,877.68,Walmart,22-05-2025
38,216,1533.77,Amazon,20-12-2025
39,185,1295.91,Flipkart,08-03-2026
40,370,3143.92,Uber,27-11-2025
41,316,1017.96,Amazon,30-03-2026
42,70,1558.06,Target,13-01-2026
43,171,4215.99,Target,18-03-2026
44,412,4317.88,Target,11-12-2025
45,172,2181.55,Zomato,02-11-2025
46,499,2992.24,Walmart,21-11-2025
47,165,3035.9,Zomato,06-09-2025
48,103,2421.1,Flipkart,15-12-2025
49,494,2021.29,Walmart,21-02-2026
50,150,3687.63,Zomato,10-02-2026
51,252,4840.43,Flipkart,04-02-2026
52,167,1911.47,Target,13-07-2025
53,187,613.74,Uber,15-05-2025
54,103,2981.52,Uber,08-09-2025
55,93,3424.48,Uber,21-07-2025
56,14,4767.37,Target,28-04-2026
57,483,3556.42,Target,07-11-2025
58,409,1492.09,Zomato,13-11-2025
59,36,4103.88,Target,30-04-2026
60,345,2521.55,Zomato,02-11-2025
61,156,1248,Zomato,25-08-2025
62,79,3590.42,Target,17-01-2026
63,38,2272.88,Uber,02-11-2025
64,246,2932.11,Uber,15-03-2026
65,260,4621.3,Zomato,20-01-2026
66,215,2741.04,Walmart,16-07-2025
67,360,4482.73,Uber,14-01-2026
68,305,3208.99,Amazon,06-10-2025
69,56,3856.32,Zomato,25-01-2026
70,341,1807.29,Zomato,29-09-2025
71,314,269.27,Zomato,27-02-2026
72,347,3251.38,Walmart,21-10-2025
73,495,3991.34,Amazon,09-08-2025
74,6,538.1,Flipkart,18-07-2025
75,262,3746.92,Uber,01-07-2025
76,298,3453.94,Flipkart,25-07-2025
77,229,1901.89,Target,25-04-2026
